run,algorithm,array_size,execution_time_ms,memory_usage_kb,comparison_count
82,Bubble Sort,1000,1924.911,0.328,499500
83,Bubble Sort,1000,1902.163,0.328,499500
84,Bubble Sort,1000,1898.982,0.328,499500
85,Bubble Sort,1000,1913.027,0.328,499500
86,Bubble Sort,1000,1922.698,0.328,499500
87,Bubble Sort,1000,1900.726,0.328,499500
88,Bubble Sort,1000,1894.091,0.328,499500
89,Bubble Sort,1000,1912.784,0.328,499500
90,Bubble Sort,1000,1932.206,0.328,499500
91,Bubble Sort,1000,1944.926,0.328,499500
92,Bubble Sort,1000,1944.886,0.328,499500
93,Bubble Sort,1000,1955.845,0.328,499500
94,Bubble Sort,1000,1911.287,0.328,499500
95,Bubble Sort,1000,1912.974,0.328,499500
96,Bubble Sort,1000,1919.563,0.328,499500
97,Bubble Sort,1000,1980.897,0.328,499500
98,Bubble Sort,1000,1916.552,0.328,499500
99,Bubble Sort,1000,1901.278,0.328,499500
100,Bubble Sort,1000,1910.749,0.328,499500
101,Bubble Sort,1000,1911.749,0.328,499500
1,Selection Sort,1000,962.826,0.896,499500
2,Selection Sort,1000,961.355,0.328,499500
3,Selection Sort,1000,971.086,0.328,499500
4,Selection Sort,1000,970.768,0.328,499500
5,Selection Sort,1000,960.506,0.328,499500
6,Selection Sort,1000,956.246,0.328,499500
7,Selection Sort,1000,1034.428,0.328,499500
8,Selection Sort,1000,985.849,0.328,499500
9,Selection Sort,1000,998.364,0.328,499500
10,Selection Sort,1000,974.852,0.328,499500
11,Selection Sort,1000,969.32,0.328,499500
12,Selection Sort,1000,960.545,0.328,499500
13,Selection Sort,1000,975.19,0.328,499500
14,Selection Sort,1000,967.524,0.328,499500
15,Selection Sort,1000,959.924,0.328,499500
16,Selection Sort,1000,965.896,0.328,499500
17,Selection Sort,1000,966.103,0.328,499500
18,Selection Sort,1000,972.581,0.328,499500
19,Selection Sort,1000,1001.71,0.328,499500
20,Selection Sort,1000,972.778,0.328,499500
21,Selection Sort,1000,965.34,0.328,499500
22,Selection Sort,1000,971.44,0.328,499500
23,Selection Sort,1000,959.661,0.328,499500
24,Selection Sort,1000,963.642,0.328,499500
25,Selection Sort,1000,967.269,0.328,499500
26,Selection Sort,1000,966.251,0.328,499500
27,Selection Sort,1000,972.846,0.328,499500
28,Selection Sort,1000,968.963,0.328,499500
29,Selection Sort,1000,1001.304,0.328,499500
30,Selection Sort,1000,967.977,0.328,499500
31,Selection Sort,1000,968.114,0.328,499500
32,Selection Sort,1000,971.249,0.328,499500
33,Selection Sort,1000,965.167,0.328,499500
34,Selection Sort,1000,974.5,0.328,499500
35,Selection Sort,1000,958.171,0.328,499500
36,Selection Sort,1000,965.748,0.328,499500
37,Selection Sort,1000,972.087,0.328,499500
38,Selection Sort,1000,972.833,0.328,499500
39,Selection Sort,1000,993.784,0.328,499500
40,Selection Sort,1000,1066.558,0.328,499500
41,Selection Sort,1000,993.291,0.328,499500
42,Selection Sort,1000,977.097,0.328,499500
43,Selection Sort,1000,958.328,0.328,499500
44,Selection Sort,1000,953.504,0.328,499500
45,Selection Sort,1000,955.738,0.328,499500
46,Selection Sort,1000,960.586,0.328,499500
47,Selection Sort,1000,959.028,0.328,499500
48,Selection Sort,1000,965.826,0.328,499500
49,Selection Sort,1000,966.629,0.328,499500
50,Selection Sort,1000,988.284,0.328,499500
51,Selection Sort,1000,955.07,0.328,499500
52,Selection Sort,1000,956.143,0.328,499500
53,Selection Sort,1000,970.319,0.328,499500
54,Selection Sort,1000,970.616,0.328,499500
55,Selection Sort,1000,954.539,0.328,499500
56,Selection Sort,1000,974.052,0.328,499500
57,Selection Sort,1000,959.344,0.328,499500
58,Selection Sort,1000,972.446,0.328,499500
59,Selection Sort,1000,966.163,0.328,499500
60,Selection Sort,1000,1003.663,0.328,499500
61,Selection Sort,1000,968.138,0.328,499500
62,Selection Sort,1000,970.557,0.328,499500
63,Selection Sort,1000,964.939,0.328,499500
64,Selection Sort,1000,969.742,0.328,499500
65,Selection Sort,1000,956.121,0.328,499500
66,Selection Sort,1000,965.174,0.328,499500
67,Selection Sort,1000,974.118,0.328,499500
68,Selection Sort,1000,965.833,0.328,499500
69,Selection Sort,1000,975.094,0.328,499500
70,Selection Sort,1000,1000.86,0.328,499500
71,Selection Sort,1000,965.65,0.328,499500
72,Selection Sort,1000,986.938,0.328,499500
73,Selection Sort,1000,984.205,0.328,499500
74,Selection Sort,1000,967.775,0.328,499500
75,Selection Sort,1000,958.309,0.328,499500
76,Selection Sort,1000,957.133,0.328,499500
77,Selection Sort,1000,960.794,0.328,499500
78,Selection Sort,1000,969.55,0.328,499500
79,Selection Sort,1000,964.136,0.328,499500
80,Selection Sort,1000,977.164,0.328,499500
81,Selection Sort,1000,1012.33,0.328,499500
82,Selection Sort,1000,965.367,0.328,499500
83,Selection Sort,1000,970.52,0.328,499500
84,Selection Sort,1000,968.771,0.328,499500
85,Selection Sort,1000,968.325,0.328,499500
86,Selection Sort,1000,969.815,0.328,499500
87,Selection Sort,1000,960.219,0.328,499500
88,Selection Sort,1000,960.581,0.328,499500
89,Selection Sort,1000,956.164,0.328,499500
90,Selection Sort,1000,950.698,0.328,499500
91,Selection Sort,1000,987.736,0.328,499500
92,Selection Sort,1000,954.073,0.328,499500
93,Selection Sort,1000,971.625,0.328,499500
94,Selection Sort,1000,965.298,0.328,499500
95,Selection Sort,1000,965.767,0.328,499500
96,Selection Sort,1000,972.772,0.328,499500
97,Selection Sort,1000,955.794,0.328,499500
98,Selection Sort,1000,975.386,0.328,499500
99,Selection Sort,1000,974.708,0.328,499500
100,Selection Sort,1000,970.026,0.328,499500
101,Selection Sort,1000,968.026,0.328,499500
1,Insertion Sort,1000,1027.015,0.771,254597
2,Insertion Sort,1000,1044.437,0.203,251861
3,Insertion Sort,1000,1019.624,0.203,247374
4,Insertion Sort,1000,1016.379,0.203,251143
5,Insertion Sort,1000,1015.063,0.203,248067
6,Insertion Sort,1000,969.201,0.203,240123
7,Insertion Sort,1000,1040.873,0.203,257925
8,Insertion Sort,1000,1000.437,0.203,250225
9,Insertion Sort,1000,1024.33,0.203,254466
10,Insertion Sort,1000,997.466,0.203,247771
11,Insertion Sort,1000,1031.232,0.203,248456
12,Insertion Sort,1000,1034.484,0.203,254281
13,Insertion Sort,1000,1032.07,0.203,254639
14,Insertion Sort,1000,1024.32,0.203,253335
15,Insertion Sort,1000,989.397,0.203,245868
16,Insertion Sort,1000,1024.201,0.203,250435
17,Insertion Sort,1000,1096.285,0.203,253521
18,Insertion Sort,1000,987.687,0.203,242697
19,Insertion Sort,1000,1006.804,0.203,247150
20,Insertion Sort,1000,967.081,0.203,238067
21,Insertion Sort,1000,1018.342,0.203,245381
22,Insertion Sort,1000,1002.223,0.203,247836
23,Insertion Sort,1000,1073.114,0.203,263346
24,Insertion Sort,1000,998.203,0.203,249890
25,Insertion Sort,1000,1022.515,0.203,253875
26,Insertion Sort,1000,971.903,0.203,241426
27,Insertion Sort,1000,1012.867,0.203,252105
28,Insertion Sort,1000,1001.89,0.203,249753
29,Insertion Sort,1000,1032.06,0.203,256510
30,Insertion Sort,1000,1042.735,0.203,255337
31,Insertion Sort,1000,1037.301,0.203,246912
32,Insertion Sort,1000,1015.61,0.203,252753
33,Insertion Sort,1000,991.966,0.203,244245
34,Insertion Sort,1000,1009.912,0.203,251228
35,Insertion Sort,1000,1044.562,0.203,255581
36,Insertion Sort,1000,1055.895,0.203,253512
37,Insertion Sort,1000,1023.306,0.203,256629
38,Insertion Sort,1000,1032.939,0.203,254338
39,Insertion Sort,1000,1016.519,0.203,250159
40,Insertion Sort,1000,1004.886,0.203,248380
41,Insertion Sort,1000,1063.26,0.203,255034
42,Insertion Sort,1000,1030.545,0.203,259942
43,Insertion Sort,1000,1018.026,0.203,252761
44,Insertion Sort,1000,1000.496,0.203,249675
45,Insertion Sort,1000,1006.091,0.203,250649
46,Insertion Sort,1000,974.662,0.203,242091
47,Insertion Sort,1000,1004.124,0.203,246978
48,Insertion Sort,1000,1071.687,0.203,250217
49,Insertion Sort,1000,1012.119,0.203,248058
50,Insertion Sort,1000,1024.293,0.203,256799
51,Insertion Sort,1000,1033.977,0.203,249279
52,Insertion Sort,1000,1045.863,0.203,252954
53,Insertion Sort,1000,1016.882,0.203,251722
54,Insertion Sort,1000,987.957,0.203,242958
55,Insertion Sort,1000,1017.792,0.203,252745
56,Insertion Sort,1000,1051.537,0.203,257877
57,Insertion Sort,1000,1002.977,0.203,245577
58,Insertion Sort,1000,1005.444,0.203,245773
59,Insertion Sort,1000,1050.402,0.203,252787
60,Insertion Sort,1000,1009.064,0.203,240939
61,Insertion Sort,1000,1049.516,0.203,253141
62,Insertion Sort,1000,1024.021,0.203,248926
63,Insertion Sort,1000,1028.787,0.203,247779
64,Insertion Sort,1000,1021.54,0.203,248178
65,Insertion Sort,1000,1040.857,0.203,252181
66,Insertion Sort,1000,1037.234,0.203,252219
67,Insertion Sort,1000,1027.453,0.203,254521
68,Insertion Sort,1000,982.811,0.203,243884
69,Insertion Sort,1000,995.57,0.203,246869
70,Insertion Sort,1000,1022.509,0.203,243323
71,Insertion Sort,1000,1008.313,0.203,247145
72,Insertion Sort,1000,1055.471,0.203,258331
73,Insertion Sort,1000,1030.645,0.203,251462
74,Insertion Sort,1000,1011.587,0.203,250339
75,Insertion Sort,1000,1006.52,0.203,248973
76,Insertion Sort,1000,1030.834,0.203,254839
77,Insertion Sort,1000,1036.613,0.203,255375
78,Insertion Sort,1000,1028.682,0.203,252220
79,Insertion Sort,1000,1104.526,0.203,253385
80,Insertion Sort,1000,1081.486,0.203,249615
81,Insertion Sort,1000,1049.81,0.203,255626
82,Insertion Sort,1000,1038.724,0.203,256766
83,Insertion Sort,1000,1014.155,0.203,253572
84,Insertion Sort,1000,1000.579,0.203,246982
85,Insertion Sort,1000,1024.772,0.203,250491
86,Insertion Sort,1000,987.8,0.203,244570
87,Insertion Sort,1000,987.083,0.203,246390
88,Insertion Sort,1000,1050.686,0.203,256133
89,Insertion Sort,1000,1003.305,0.203,244040
90,Insertion Sort,1000,1019.333,0.203,249954
91,Insertion Sort,1000,1036.017,0.203,254313
92,Insertion Sort,1000,994.92,0.203,246911
93,Insertion Sort,1000,1024.565,0.203,250997
94,Insertion Sort,1000,1004.516,0.203,249034
95,Insertion Sort,1000,1045.455,0.203,257676
96,Insertion Sort,1000,1025.783,0.203,250877
97,Insertion Sort,1000,1024,0.203,252231
98,Insertion Sort,1000,1031.919,0.203,253765
99,Insertion Sort,1000,1056.476,0.203,248068
100,Insertion Sort,1000,1024.817,0.203,251103
101,Insertion Sort,1000,1025.817,0.203,251103
1,Merge Sort,1000,20.618,25.889,8731
2,Merge Sort,1000,18.028,24.688,8712
3,Merge Sort,1000,16.925,25.167,8667
4,Merge Sort,1000,16.464,24.695,8694
5,Merge Sort,1000,16.158,24.688,8708
6,Merge Sort,1000,16.135,24.688,8723
7,Merge Sort,1000,16.018,24.688,8704
8,Merge Sort,1000,16.108,24.688,8697
9,Merge Sort,1000,16.196,24.688,8718
10,Merge Sort,1000,17.314,24.688,8683
11,Merge Sort,1000,16.035,24.688,8719
12,Merge Sort,1000,15.696,24.688,8686
13,Merge Sort,1000,16.086,24.695,8712
14,Merge Sort,1000,15.743,24.688,8718
15,Merge Sort,1000,15.6,24.688,8711
16,Merge Sort,1000,15.782,24.688,8695
17,Merge Sort,1000,15.853,24.688,8718
18,Merge Sort,1000,15.641,24.688,8710
19,Merge Sort,1000,16.225,24.688,8708
20,Merge Sort,1000,16.367,24.688,8733
21,Merge Sort,1000,15.413,24.688,8712
22,Merge Sort,1000,15.542,24.688,8726
23,Merge Sort,1000,16.278,24.688,8688
24,Merge Sort,1000,15.571,24.688,8696
25,Merge Sort,1000,15.37,24.688,8714
26,Merge Sort,1000,15.407,24.688,8712
27,Merge Sort,1000,15.704,24.688,8698
28,Merge Sort,1000,15.451,24.688,8692
29,Merge Sort,1000,16.088,24.703,8693
30,Merge Sort,1000,15.636,24.688,8700
31,Merge Sort,1000,16.196,24.688,8748
32,Merge Sort,1000,15.565,24.688,8706
33,Merge Sort,1000,15.796,24.688,8706
34,Merge Sort,1000,15.46,24.688,8702
35,Merge Sort,1000,15.899,24.688,8694
36,Merge Sort,1000,15.431,24.688,8687
37,Merge Sort,1000,15.995,24.688,8674
38,Merge Sort,1000,15.647,24.688,8716
39,Merge Sort,1000,15.544,24.703,8703
40,Merge Sort,1000,15.96,24.719,8705
41,Merge Sort,1000,16.335,24.688,8684
42,Merge Sort,1000,15.652,24.688,8707
43,Merge Sort,1000,16.332,24.688,8695
44,Merge Sort,1000,15.587,24.688,8703
45,Merge Sort,1000,15.849,24.688,8694
46,Merge Sort,1000,15.367,24.688,8671
47,Merge Sort,1000,16.34,24.688,8726
48,Merge Sort,1000,16.116,24.688,8671
49,Merge Sort,1000,16.076,24.688,8708
50,Merge Sort,1000,15.488,24.688,8711
51,Merge Sort,1000,15.648,24.688,8734
52,Merge Sort,1000,15.415,24.688,8702
53,Merge Sort,1000,15.562,24.688,8724
54,Merge Sort,1000,15.762,24.688,8686
55,Merge Sort,1000,15.424,24.688,8716
56,Merge Sort,1000,15.434,24.688,8678
57,Merge Sort,1000,15.395,24.688,8724
58,Merge Sort,1000,15.257,24.688,8700
59,Merge Sort,1000,15.516,24.688,8701
60,Merge Sort,1000,15.832,24.688,8682
61,Merge Sort,1000,15.579,24.688,8706
62,Merge Sort,1000,15.328,24.688,8720
63,Merge Sort,1000,15.402,24.688,8715
64,Merge Sort,1000,15.614,24.688,8716
65,Merge Sort,1000,15.315,24.688,8683
66,Merge Sort,1000,15.596,24.688,8671
67,Merge Sort,1000,15.613,24.688,8720
68,Merge Sort,1000,15.44,24.688,8715
69,Merge Sort,1000,15.551,24.688,8708
70,Merge Sort,1000,15.45,24.688,8700
71,Merge Sort,1000,15.374,24.688,8734
72,Merge Sort,1000,16.435,24.688,8675
73,Merge Sort,1000,15.906,24.688,8710
74,Merge Sort,1000,15.295,24.688,8716
75,Merge Sort,1000,15.562,24.688,8711
76,Merge Sort,1000,16.077,24.688,8707
77,Merge Sort,1000,15.613,24.688,8722
78,Merge Sort,1000,15.91,24.688,8711
79,Merge Sort,1000,15.707,24.688,8685
80,Merge Sort,1000,16.965,24.719,8701
81,Merge Sort,1000,15.42,24.688,8706
82,Merge Sort,1000,15.534,24.688,8704
83,Merge Sort,1000,15.246,24.695,8679
84,Merge Sort,1000,15.234,24.688,8736
85,Merge Sort,1000,15.677,24.688,8679
86,Merge Sort,1000,15.43,24.688,8699
87,Merge Sort,1000,15.157,24.688,8724
88,Merge Sort,1000,15.558,24.688,8686
89,Merge Sort,1000,15.533,24.688,8694
90,Merge Sort,1000,16.129,24.688,8720
91,Merge Sort,1000,16.032,24.688,8714
92,Merge Sort,1000,16.068,24.688,8700
93,Merge Sort,1000,15.778,24.688,8674
94,Merge Sort,1000,16.799,24.688,8699
95,Merge Sort,1000,16.111,24.688,8723
96,Merge Sort,1000,15.7,24.688,8747
97,Merge Sort,1000,15.64,24.688,8712
98,Merge Sort,1000,15.801,24.688,8745
99,Merge Sort,1000,15.388,24.695,8717
100,Merge Sort,1000,15.843,24.688,8707
1,Quick Sort,1000,17.848,40.719,10472
2,Quick Sort,1000,15.385,52.573,10803
3,Quick Sort,1000,14.371,44.344,10845
4,Quick Sort,1000,14.096,42.656,10685
5,Quick Sort,1000,16.089,47.297,10881
6,Quick Sort,1000,14.233,48.547,10924
7,Quick Sort,1000,14.313,42.969,10660
8,Quick Sort,1000,14.08,45.312,10678
9,Quick Sort,1000,14.91,46.883,11145
10,Quick Sort,1000,14.79,52.766,11475
11,Quick Sort,1000,13.176,37.078,9890
12,Quick Sort,1000,14.007,43.242,10661
13,Quick Sort,1000,14.052,39.477,10637
14,Quick Sort,1000,15.255,52.578,11840
15,Quick Sort,1000,13.935,44.039,10662
16,Quick Sort,1000,15.854,37.445,10272
17,Quick Sort,1000,13.793,38.469,10301
18,Quick Sort,1000,14.312,55.156,11139
19,Quick Sort,1000,13.592,40.578,10466
20,Quick Sort,1000,13.78,41.68,10134
21,Quick Sort,1000,14.004,45.719,10550
22,Quick Sort,1000,13.974,48.055,10905
23,Quick Sort,1000,14.167,48.852,10998
24,Quick Sort,1000,15.399,59.617,12289
25,Quick Sort,1000,14.51,49.773,10983
26,Quick Sort,1000,15.006,57.25,11719
27,Quick Sort,1000,14.922,44.195,11257
28,Quick Sort,1000,15.821,60.812,12095
29,Quick Sort,1000,13.474,36.664,10211
30,Quick Sort,1000,14.245,37.93,10561
31,Quick Sort,1000,15.865,52.367,11523
32,Quick Sort,1000,14.571,52.039,10980
33,Quick Sort,1000,15.093,54.938,11549
34,Quick Sort,1000,14.767,46.414,10551
35,Quick Sort,1000,13.726,38.211,10095
36,Quick Sort,1000,14.704,50.867,11056
37,Quick Sort,1000,14.637,40.531,11005
38,Quick Sort,1000,15.208,49.516,11846
39,Quick Sort,1000,14.85,54.938,11712
40,Quick Sort,1000,15.139,54.273,11699
41,Quick Sort,1000,13.844,43.516,10537
42,Quick Sort,1000,16.139,47.375,10769
43,Quick Sort,1000,15.817,53.727,12106
44,Quick Sort,1000,14.866,49.617,11387
45,Quick Sort,1000,13.782,33.734,10209
46,Quick Sort,1000,16.317,58.125,12160
47,Quick Sort,1000,14.455,37.742,10411
48,Quick Sort,1000,16.352,69.555,12820
49,Quick Sort,1000,14.115,44.695,10404
50,Quick Sort,1000,17.056,45.039,11180
51,Quick Sort,1000,13.844,41.414,10295
52,Quick Sort,1000,13.667,36.43,10186
53,Quick Sort,1000,15.359,60.094,12032
54,Quick Sort,1000,14.745,54.328,11366
55,Quick Sort,1000,14.555,41.305,11045
56,Quick Sort,1000,15.74,47.055,12100
57,Quick Sort,1000,13.765,40.031,10269
58,Quick Sort,1000,15.057,49.703,11614
59,Quick Sort,1000,14.425,41.188,10463
60,Quick Sort,1000,15.595,41.609,11261
61,Quick Sort,1000,15.128,51.922,11112
62,Quick Sort,1000,14.607,48.25,10815
63,Quick Sort,1000,14.388,40.031,10596
64,Quick Sort,1000,14.467,47.805,10911
65,Quick Sort,1000,14.23,42.102,10331
66,Quick Sort,1000,13.685,40.227,10033
67,Quick Sort,1000,15.252,61.031,12034
68,Quick Sort,1000,14.958,53.969,11662
69,Quick Sort,1000,14.459,42.016,10823
70,Quick Sort,1000,14.467,45.109,11069
71,Quick Sort,1000,14.514,41.656,11231
72,Quick Sort,1000,14.102,46.453,10631
73,Quick Sort,1000,13.524,37.539,10241
74,Quick Sort,1000,14.707,49.594,11479
75,Quick Sort,1000,13.686,37.727,10323
76,Quick Sort,1000,14.804,39.742,11275
77,Quick Sort,1000,14.357,38.727,10975
78,Quick Sort,1000,13.481,36.688,10272
79,Quick Sort,1000,14.876,55.422,11692
80,Quick Sort,1000,14.096,47.328,10671
81,Quick Sort,1000,14.246,41.219,10900
82,Quick Sort,1000,13.341,39.18,9844
83,Quick Sort,1000,15.11,48.062,11410
84,Quick Sort,1000,15.005,56.523,11742
85,Quick Sort,1000,13.793,43.297,10390
86,Quick Sort,1000,14.83,53.18,11635
87,Quick Sort,1000,14.381,47.586,11083
88,Quick Sort,1000,13.647,35.711,10334
89,Quick Sort,1000,15.468,49.039,11972
90,Quick Sort,1000,14.434,45.945,10930
91,Quick Sort,1000,14.049,42.164,10600
92,Quick Sort,1000,13.996,45.367,10902
93,Quick Sort,1000,13.967,49.086,10760
94,Quick Sort,1000,13.802,40.945,10646
95,Quick Sort,1000,15.209,57.211,11819
96,Quick Sort,1000,13.791,38.742,10465
97,Quick Sort,1000,15.014,56.656,11507
98,Quick Sort,1000,14.118,40.867,10787
99,Quick Sort,1000,14.141,52.695,11004
100,Quick Sort,1000,14.392,45.477,11136
1,Heap Sort,1000,26.361,8.869,16815
2,Heap Sort,1000,25.161,8.647,16863
3,Heap Sort,1000,24.55,8.168,16832
4,Heap Sort,1000,24.475,8.168,16809
5,Heap Sort,1000,24.579,8.168,16858
6,Heap Sort,1000,24.261,8.168,16838
7,Heap Sort,1000,24.923,8.168,16867
8,Heap Sort,1000,25.147,8.168,16880
9,Heap Sort,1000,24.819,8.168,16833
10,Heap Sort,1000,24.487,8.168,16850
11,Heap Sort,1000,24.49,8.168,16798
12,Heap Sort,1000,24.978,8.168,16884
13,Heap Sort,1000,24.937,8.168,16871
14,Heap Sort,1000,24.393,8.168,16852
15,Heap Sort,1000,24.585,8.168,16834
16,Heap Sort,1000,24.861,8.168,16845
17,Heap Sort,1000,24.671,8.168,16791
18,Heap Sort,1000,24.783,8.168,16862
19,Heap Sort,1000,24.414,8.168,16872
20,Heap Sort,1000,25.004,8.168,16876
21,Heap Sort,1000,24.624,8.168,16838
22,Heap Sort,1000,24.905,8.168,16836
23,Heap Sort,1000,24.694,8.168,16851
24,Heap Sort,1000,24.848,8.168,16861
25,Heap Sort,1000,29.949,8.168,16883
26,Heap Sort,1000,24.276,8.168,16841
27,Heap Sort,1000,24.948,8.168,16897
28,Heap Sort,1000,24.583,8.168,16856
29,Heap Sort,1000,26.112,8.168,16869
30,Heap Sort,1000,25.226,8.168,16829
31,Heap Sort,1000,24.781,8.168,16903
32,Heap Sort,1000,31.391,8.168,16877
33,Heap Sort,1000,34.282,8.168,16886
34,Heap Sort,1000,32.835,8.168,16862
35,Heap Sort,1000,26.726,8.168,16798
36,Heap Sort,1000,25.231,8.168,16843
37,Heap Sort,1000,25.187,8.168,16859
38,Heap Sort,1000,24.621,8.168,16888
39,Heap Sort,1000,24.582,8.168,16816
40,Heap Sort,1000,24.671,8.168,16866
41,Heap Sort,1000,24.55,8.168,16844
42,Heap Sort,1000,24.582,8.168,16836
43,Heap Sort,1000,25.302,8.168,16878
44,Heap Sort,1000,26.128,8.168,16895
45,Heap Sort,1000,24.637,8.168,16866
46,Heap Sort,1000,24.692,8.168,16869
47,Heap Sort,1000,24.277,8.168,16807
48,Heap Sort,1000,24.736,8.168,16865
49,Heap Sort,1000,24.757,8.168,16818
50,Heap Sort,1000,24.708,8.168,16834
51,Heap Sort,1000,24.989,8.168,16848
52,Heap Sort,1000,25.047,8.168,16875
53,Heap Sort,1000,25.672,8.168,16878
54,Heap Sort,1000,24.655,8.168,16836
55,Heap Sort,1000,24.584,8.168,16882
56,Heap Sort,1000,25.008,8.168,16853
57,Heap Sort,1000,24.271,8.168,16838
58,Heap Sort,1000,24.514,8.168,16876
59,Heap Sort,1000,24.314,8.168,16837
60,Heap Sort,1000,24.557,8.168,16873
61,Heap Sort,1000,25.398,8.168,16857
62,Heap Sort,1000,24.893,8.168,16880
63,Heap Sort,1000,24.975,8.168,16883
64,Heap Sort,1000,24.771,8.168,16867
65,Heap Sort,1000,24.569,8.168,16856
66,Heap Sort,1000,24.45,8.168,16852
67,Heap Sort,1000,26.189,8.168,16823
68,Heap Sort,1000,24.684,8.168,16811
69,Heap Sort,1000,24.972,8.168,16865
70,Heap Sort,1000,24.594,8.168,16896
71,Heap Sort,1000,24.261,8.168,16825
72,Heap Sort,1000,24.476,8.168,16860
73,Heap Sort,1000,24.98,8.168,16872
74,Heap Sort,1000,24.587,8.168,16909
75,Heap Sort,1000,24.827,8.168,16840
76,Heap Sort,1000,24.528,8.168,16817
77,Heap Sort,1000,24.589,8.168,16794
78,Heap Sort,1000,25.06,8.168,16835
79,Heap Sort,1000,24.893,8.168,16822
80,Heap Sort,1000,24.784,8.168,16900
81,Heap Sort,1000,24.501,8.168,16841
82,Heap Sort,1000,24.729,8.168,16880
83,Heap Sort,1000,24.945,8.168,16858
84,Heap Sort,1000,24.952,8.168,16877
85,Heap Sort,1000,24.58,8.168,16835
